InX,InY,OutX,OutY
365.7498592,207.872497,365.2809912,219.6658764
363.6752074,207.7778365,363.3602266,219.5718021
361.6870001,207.6882347,361.3530117,219.4726015
359.7109941,207.5973898,359.3335351,219.3748612
357.7312098,207.5039132,357.3177959,219.2803026
355.744556,207.4077026,355.3087793,219.1919549
353.7485447,207.3131969,353.3088084,219.1092626
351.7208191,207.2194,351.3404766,219.0269903
349.7219572,207.132949,349.3427677,218.948804
347.7216759,207.0466001,347.3465393,218.8686619
345.7183679,206.9606881,345.353405,218.7863162
343.6464014,206.8783703,343.4286449,218.7070738
341.7077448,206.8052594,341.3704536,218.6217552
339.6997833,206.7311622,339.3815274,218.5387525
337.6916622,206.6576032,337.3927914,218.4540616
335.6859315,206.5844082,335.4015408,218.3722287
333.679389,206.5134682,333.4110265,218.2903867
331.6733416,206.4384165,331.4202409,218.2067812
329.704952,206.3631676,329.3922559,218.1118735
327.7310132,206.2848799,327.3698784,218.0189998
325.7240913,206.2024087,325.3804937,217.9298495
323.717698,206.1148782,323.3907524,217.842319
321.7103693,206.0287135,321.4018063,217.7565482
319.7406429,205.9416883,319.3754345,217.6673557
317.7325431,205.8515344,317.3876188,217.5771875
315.7598818,205.7618938,315.3641973,217.4904477
313.7495636,205.6719446,313.3784873,217.4026736
311.7832237,205.5768805,311.3491597,217.3122486
309.8004186,205.4793306,309.3364578,217.2208956
307.7297044,205.3758643,307.411949,217.1296857
305.7397509,205.2743945,305.4067398,217.0350537
303.7800902,205.1728436,303.3715706,216.9339525
301.8266886,205.0699637,301.3304728,216.8275294
299.7839655,204.9594965,299.3791356,216.7204345
297.7579289,204.8495877,297.4117831,216.600708
295.8042743,204.7431125,295.372601,216.4681322
293.7874627,204.6337634,293.3968519,216.3338834
291.8526546,204.5277087,291.339375,216.1918052
289.7791066,204.4122853,289.4209147,216.055084
287.8542013,204.3032068,287.3545812,215.9002853
285.8640739,204.1846712,285.354121,215.7449619
283.9033352,204.0565393,283.3257975,215.5780402
281.9344993,203.9132655,281.3069459,215.4080498
279.9565208,203.7514365,279.2989802,215.2354238
277.9047463,203.5722892,277.3660185,215.0658342
275.9878704,203.3995082,275.299322,214.8771334
274.0030479,203.2108182,273.3015299,214.6937988
272.0237283,203.0145072,271.2995459,214.5044817
270.0534533,202.8099659,269.290163,214.3068312
268.1048043,202.5991577,267.2608575,214.0987771
266.1136776,202.3774031,265.2760633,213.8836026
264.1180525,202.1544954,263.2968623,213.6588267
262.1725828,201.9286247,261.2697897,213.4173709
260.1714941,201.6866245,259.3000855,213.1771588
258.2442373,201.4417698,257.2595672,212.9156013
256.3130805,201.1825041,255.2256119,212.6479888
254.3262592,200.9013311,253.2515179,212.3719181
252.4056806,200.6133066,251.2152103,212.0745564
250.4753464,200.3098004,249.1930076,211.7642707
248.4979643,199.9836139,247.222038,211.4499965
246.5164188,199.6463144,245.2585666,211.1269811
244.596502,199.3069254,243.2371513,210.7841632
242.6882239,198.9635491,241.2074645,210.426211
240.700966,198.6012648,239.2587801,210.0757545
238.7158418,198.2328376,237.310272,209.7188069
236.7436878,197.8582537,235.3512566,209.3548405
234.8332257,197.4877047,233.3333204,208.9721894
232.935479,197.116371,231.3044716,208.5808982
230.9326165,196.7166051,229.3831578,208.2057419
228.9844254,196.3192121,227.4112706,207.8079548
227.0931441,195.931025,225.3854292,207.3862535
225.1229772,195.5207939,223.4419754,206.9700073
223.1553257,195.1020946,221.5001446,206.5426308
221.2707062,194.6949588,219.4787759,206.0879691
219.3093819,194.2638833,217.5373087,205.6426261
217.3491588,193.8198205,215.599215,205.1906738
215.3915025,193.3669173,213.6627251,204.7296156
213.5217711,192.9249516,211.6425782,204.2395371
211.5329999,192.4431321,209.7467609,203.7675692
209.6197932,191.9729932,207.7785683,203.2709746
207.7334986,191.499599,205.788771,202.7565561
205.8177409,191.0080115,203.8339637,202.2388977
203.8792384,190.4999632,201.906919,201.7187305
201.9561865,189.9825663,199.9692801,201.1897053
200.0971588,189.471083,197.9724426,200.6371971
198.1702547,188.9259549,196.0491817,200.0979137
196.3329662,188.3983864,194.0407488,199.5253891
194.3731271,187.8265231,192.1595965,198.9807237
192.4967239,187.2707167,190.1985164,198.4080207
190.5607901,186.6886261,188.3010431,197.8479167
188.6711587,186.1108924,186.3619875,197.2677018
186.761821,185.5197993,184.4463413,196.6886973
184.9339016,184.9456786,182.4531234,196.0801638
183.0000567,184.3308652,180.5700291,195.4988355
181.1330895,183.7286517,178.6247841,194.889945
179.2342942,183.1063259,176.7165941,194.2848261
177.338058,182.4734023,174.8124381,193.6700371
175.5266413,181.8549047,172.8313506,193.0170758
173.6403765,181.1980948,170.9333422,192.378073
171.7525541,180.5291798,169.0441763,191.7301976
169.9313873,179.8755633,167.0939316,191.051019
167.9924574,179.1674649,165.2689804,190.4052778
166.1840229,178.5011596,163.318274,189.7046331
164.3040125,177.7994975,161.4457149,189.021337
162.4261029,177.0923681,159.5759374,188.330451
160.5487509,176.3794981,157.7107559,187.6314657
158.7559631,175.692214,155.7671735,186.8906695
156.8399463,174.9505413,153.9533682,186.1872549
155.0072678,174.2360998,152.0629427,185.4393565
153.1797579,173.5173204,150.1752636,184.6758026
151.3471012,172.7897413,148.2994337,183.9043523
149.478576,172.0401533,146.4661925,183.1384163
147.6452071,171.2930368,144.6059088,182.3503377
145.831216,170.5464904,142.7325786,181.5465227
