In_x,In_y,Out_x,Out_y,Center_x,Center_y
229.2601732,20.46420903,229.8480857,8.16456284,229.5541294,14.31438593
234.2511995,20.76226235,234.8376739,8.488870419,234.5444367,14.62556638
239.2421342,21.06031565,239.8273534,8.813184887,239.5347438,14.93675027
244.2331604,21.35836896,244.8169414,9.137496687,244.5250509,15.24793282
249.2241383,21.65641972,249.8065784,9.461802183,249.5153583,15.55911095
254.2151213,21.95447557,254.796209,9.786122955,254.5056651,15.87029926
259.2061021,22.25252617,259.7858431,10.11042757,259.4959726,16.18147687
264.1971074,22.55057946,264.7754516,10.43474626,264.4862795,16.49266286
269.188063,22.84863278,269.7651106,10.75905384,269.4765868,16.80384331
274.1790586,23.14668426,274.7547293,11.08336687,274.466894,17.11502557
279.1700518,23.44473773,279.7443504,11.4076783,279.4572011,17.42620802
284.1610046,23.74278999,284.7340123,11.73198596,284.4475084,17.73738798
289.1520306,24.04084329,289.7236001,12.05630342,289.4378154,18.04857335
294.1430063,24.3388966,294.713239,12.380611,294.4281227,18.3597538
299.1339915,24.6369499,299.7028677,12.70492969,299.4184296,18.67093979
304.1249725,24.9350005,304.6925016,13.02923432,304.4087371,18.98211741
309.1159655,25.23305575,309.6821225,13.35355198,309.399044,19.29330386
314.1069332,25.53110711,314.6717693,13.67786057,314.3893513,19.60448384
319.0979595,25.82916042,319.6613575,14.00216993,319.3796585,19.91566518
324.0888995,26.1272134,324.6510315,14.32648649,324.3699655,20.22684994
329.0799204,26.42526704,329.6406251,14.65079442,329.3602727,20.53803073
334.0709008,26.72331761,334.6302589,14.97511015,334.3505799,20.84921388
339.0495516,27.04613759,339.6302573,15.3046947,339.3399045,21.17541614
344.0843698,27.37743784,344.5739488,15.62809773,344.3291593,21.50276778
349.0341359,27.70259506,349.6034061,15.94646963,349.318771,21.82453235
354.01538,28.0266271,354.6018263,16.25899548,354.3086032,22.14281129
359.0187282,28.35613427,359.5778298,16.57051605,359.298279,22.46332516
364.0151172,28.6903692,364.5598148,16.8931226,364.287466,22.7917459
