In_x,In_y,Out_x,Out_y,Center_x,Center_y,PositionIndex
374.3120127,-0.275766991,380.4386748,9.420282423,377.3753438,4.572257716,128
370.6604127,3.14064372,376.7931182,12.8413273,373.7267654,7.990985512,129
367.0413818,6.536011509,373.1165531,16.28510224,370.0789674,11.41055688,130
363.3379592,10.01843276,369.5145187,19.6312643,366.4262389,14.82484853,131
359.730697,13.3802492,365.7925349,23.07249289,362.761616,18.22637105,132
356.0678189,16.77441198,362.1132074,26.46740598,359.0905131,21.62090898,133
352.4044427,20.19407786,358.4508214,29.85455309,355.427632,25.02431548,134
348.7054787,23.65498664,354.8209667,33.19714451,351.7632227,28.42606557,135
345.055606,27.05917422,351.1295867,36.5830537,348.0925963,31.82111396,136
341.4079399,30.45322138,347.4296608,39.97226204,344.4188003,35.21274171,137
337.7704067,33.85138866,343.7232475,43.3612991,340.7468271,38.60634388,138
334.0800706,37.3129706,340.0799046,46.69800859,337.0799876,42.0054896,139
330.4791116,40.70421556,336.3622328,50.12122626,333.4206722,45.41272091,140
326.8322062,44.14405847,332.6991229,53.50511328,329.7656646,48.82458588,141
323.1844561,47.5791717,329.050257,56.90803672,326.1173566,52.24360421,142
319.5369027,51.02074358,325.4112779,60.31524869,322.4740903,55.66799614,143
315.8545618,54.52117038,321.8119641,63.6687903,318.833263,59.09498034,144
312.2687188,57.95032122,318.119306,67.09696615,315.1940124,62.52364368,145
308.6448243,61.41556552,314.4614319,70.48558114,311.5531281,65.95057333,146
305.0168896,64.88074021,310.8065709,73.87316571,307.9117302,69.37695296,147
301.3960134,68.34943453,307.1587907,77.27222628,304.277402,72.8108304,148
297.7787391,71.82226762,303.5237452,80.68439893,300.6512422,76.25333327,149
294.1625568,75.29948943,299.8883743,84.09299863,297.0254655,79.69624403,150
290.5391114,78.77381212,296.2538432,87.49773484,293.3964773,83.13577348,151
286.9209158,82.22968139,292.6081723,90.91469768,289.7645441,86.57218953,152
283.3467647,85.63495664,288.9125495,94.37600876,286.1296571,90.0054827,153
279.7103518,89.10098883,285.282011,97.77955743,282.4961814,93.44027313,154
276.0665703,92.55746142,281.651368,101.1847506,278.8589692,96.87110599,155
272.4876188,95.93042366,277.9410254,104.6576546,275.2143221,100.2940391,156
268.8227344,99.3553398,274.2933744,108.0537547,271.5580544,103.7045473,157
265.1471587,102.7696543,270.6445515,111.4477131,267.8958551,107.1086837,158
261.4732482,106.1885913,267.0009093,114.8444392,264.2370788,110.5165153,159
257.7939051,109.6097679,263.36317,118.2394297,260.5785376,113.9245988,160
254.1943077,112.9629506,259.6497297,121.7067551,256.9220187,117.3348529,161
250.5203321,116.3884881,256.0107542,125.1017959,253.2655432,120.745142,162
246.8430968,119.8137315,252.3776734,128.4999531,249.6103851,124.1568423,163
243.2381809,123.1671456,248.6784318,131.9765413,245.9583064,127.5718434,164
239.5517074,126.5899739,245.0691441,135.3926554,242.3104258,130.9913146,165
235.8615613,130.0089072,241.4635681,138.8127164,238.6625647,134.4108118,166
232.2482649,133.3547921,237.7843614,142.3092597,235.0163131,137.8320259,167
228.5553945,136.7765464,234.1846233,145.7297951,231.3700089,141.2531708,168
224.8936371,140.1621108,230.5547528,149.1875618,227.724195,144.6748363,169
221.2296832,143.5411701,226.922136,152.6465385,224.0759096,148.0938543,170
217.5263676,146.9634303,223.3360274,156.0699634,220.4311975,151.5166968,171
213.905644,150.3180521,219.6714277,159.5653456,216.7885359,154.9416988,172
210.2005025,153.7495945,216.0813613,162.9732644,213.1409319,158.3614294,173
206.5504707,157.1459287,212.4350632,166.4152668,209.4927669,161.7805978,174
202.8980341,160.5729803,208.7948017,169.8304539,205.8464179,165.2017171,175
199.2267876,164.0335812,205.1775606,173.2165831,202.2021741,168.6250822,176
195.6369572,167.4317451,201.4837489,176.6703042,198.5603531,172.0510247,177
191.9521311,170.9162719,197.887092,180.0399548,194.9196115,175.4781133,178
188.4021095,174.2625266,194.1497842,183.5416717,191.2759468,178.9020991,179
184.6759349,177.7706826,190.5826209,186.8750815,187.6292779,182.322882,180
181.0980429,181.1402521,186.8549181,190.3339931,183.9764805,185.7371226,181
177.4289189,184.6001093,183.2098051,193.6933148,180.319362,189.146712,182
173.7551784,188.0686143,179.563832,197.038085,176.6595052,192.5533496,183
170.1629308,191.4692762,175.8438268,200.4587412,173.0033788,195.9640087,184
166.4837921,194.9573382,172.2241053,203.8063318,169.3539487,199.381835,185
162.8820396,198.3787797,168.5416907,207.2362163,165.7118652,202.807498,186
159.2713783,201.806699,164.875051,210.6668919,162.0732147,206.2367954,187
155.5747728,205.3090976,161.3027007,214.0319044,158.4387368,209.670501,188
152.0098731,208.677298,157.5989662,217.5313968,154.8044196,213.1043474,189
148.3520877,212.1008739,153.9662664,220.9522628,151.159177,216.5265684,190
144.7341056,215.4703298,150.2886124,224.4217525,147.511359,219.9460412,191
141.0817034,218.8612982,146.6424201,227.8665543,143.8620618,223.3639262,192
137.3969728,222.2904598,143.0326897,231.2776578,140.2148312,226.7840588,193
133.7325622,225.694368,139.4046451,234.7160596,136.5686036,230.2052138,194
130.0922679,229.0873815,135.7599382,238.1733935,132.926103,233.6303875,195
126.4000966,232.5316344,132.1654469,241.5776737,129.2827718,237.054654,196
122.7896861,235.907203,128.4950336,245.0569086,125.6423598,240.4820558,197
119.1018391,239.3709672,124.9173483,248.4640918,122.0095937,243.9175295,198
115.4957887,242.7592159,121.2574027,251.9463339,118.3765957,247.3527749,199
111.8084959,246.2175378,117.6740086,255.353461,114.7412523,250.7854994,200
108.209011,249.5885418,113.9976023,258.8424997,111.1033067,254.2155207,201
104.5777665,252.9742015,110.340295,262.3033994,107.4590308,257.6388005,202
100.8512301,256.4394745,106.7754402,265.6816694,103.8133352,261.0605719,203
97.19277476,259.8595436,103.1530395,269.1164042,100.1729071,264.4879739,204
93.59706366,263.2380838,99.47707724,272.6024201,96.53707045,267.920252,205
89.92668565,266.6985566,95.87319441,276.003787,92.89994003,271.3511718,206
86.24550341,270.1617346,92.27409841,279.396013,89.25980091,274.7788738,207
82.64021545,273.5474921,88.5941525,282.8603817,85.61718397,278.2039369,208
79.02762412,276.9386463,84.91763113,286.3152664,81.97262762,281.6269564,209
75.37149469,280.3673873,81.28823094,289.736314,78.32986281,285.0518507,210
71.69932545,283.8137729,77.67712137,293.1421589,74.68822341,288.4779659,211
68.07256483,287.2201749,74.02935634,296.5973166,71.05096058,291.9087458,212
64.44044475,290.6276445,70.38636724,300.0507851,67.413406,295.3392148,213
60.77802172,294.0709855,66.77209725,303.4667032,63.77505948,298.7688443,214
57.16517738,297.4694429,63.10443946,306.9234565,60.13480842,302.1964497,215
53.5193513,300.898157,59.46593225,310.3458787,56.49264178,305.6220178,216
49.86862244,304.329296,55.83486672,313.7685852,52.85174458,309.0489406,217
46.21176796,307.7552819,52.2013327,317.1872925,49.20655033,312.4712872,218
42.54234762,311.1803048,48.57602304,320.6023322,45.55918533,315.8913185,219
38.95240488,314.5146678,44.86305457,324.0992207,41.90772972,319.3069442,220
35.26717047,317.9343374,41.23984609,327.5049496,38.25350828,322.7196435,221
31.58841582,321.3697877,37.62869536,330.9145894,34.60855559,326.1421885,222
27.9626845,324.766611,33.95599965,334.3538582,30.95934208,329.5602346,223
