In_x,In_y,Out_x,Out_y,Center_x,Center_y,PositionIndex
76.53600044,11.34379388,77.16546016,-1.759379276,76.8507303,4.792207302,78
77.53419898,11.40340602,78.16338427,-1.694515117,77.84879163,4.854445453,79
78.5323977,11.46301711,79.16130856,-1.629655418,78.84685313,4.916680844,80
79.5305753,11.52262612,80.1592538,-1.5647912,79.84491455,4.978917458,81
80.52878951,11.58223731,81.15716209,-1.499923712,80.8429758,5.041156802,82
81.52699358,11.64184791,82.15508114,-1.435065439,81.84103736,5.103391233,83
82.52517275,11.70145701,83.15302496,-1.370203696,82.83909886,5.165626657,84
83.52338713,11.76106822,84.15093341,-1.305341286,83.83716027,5.227863466,85
84.52160156,11.82067943,85.14884191,-1.240480719,84.83522174,5.290099355,86
85.51978823,11.88028898,86.14677806,-1.17561664,85.83328315,5.352336171,87
86.51798478,11.93989912,87.14470477,-1.110760144,86.83134477,5.41456949,88
87.51619895,11.99951032,88.14261302,-1.04589137,87.82940599,5.476809475,89
88.51438418,12.05911979,89.1405507,-0.981028505,88.82746744,5.53904564,90
89.51258208,12.11873001,90.13847579,-0.916167892,89.82552893,5.601281058,91
90.51078149,12.17834211,91.13639915,-0.851305632,90.82359032,5.663518238,92
91.50894941,12.23795242,92.13435401,-0.786441455,91.82165171,5.725755482,93
92.50713382,12.29756364,93.13229269,-0.721583621,92.81971326,5.787990007,94
93.50534801,12.35717483,94.13020095,-0.656715017,93.81777448,5.850229907,95
94.50356253,12.41678605,95.12810954,-0.591857353,94.81583604,5.912464347,96
95.50173114,12.47639452,96.12606371,-0.52699154,95.81389742,5.974701491,97
96.49994566,12.53600574,97.12397231,-0.462133875,96.81195898,6.036935931,98
97.49815984,12.59561693,98.12188055,-0.397265102,97.8100202,6.099175915,99
98.49632876,12.65522543,99.11983505,-0.332409503,98.8080819,6.161407961,100
99.49454297,12.71483662,100.1177433,-0.267541625,99.80614314,6.223647499,101
100.4927575,12.77444784,101.1156519,-0.202683961,100.8042047,6.285881939,102
101.4909665,12.83405872,102.1135654,-0.137815523,101.8022659,6.348121601,103
102.4891406,12.89366753,103.1115147,-0.072960483,102.8003277,6.410353523,104
103.4873549,12.95327873,104.109423,-0.00809391,103.7983889,6.472592409,105
104.4855559,13.01288994,105.1073449,0.056765955,104.7964504,6.534827947,106
105.4837156,13.07249976,106.1053082,0.121627558,105.7945119,6.597063658,107
106.4819141,13.1321119,107.1032323,0.186491903,106.7925732,6.659301902,108
107.4801126,13.19172306,108.1011563,0.251360636,107.7906344,6.721541847,109
108.4782897,13.25133204,109.0991026,0.31621587,108.7886961,6.783773955,110
109.4765039,13.31094324,110.0970109,0.381083172,109.7867574,6.846013205,111
110.4747184,13.37055445,111.0949194,0.445942308,110.7848189,6.908248379,112
111.4729074,13.43016414,112.0928534,0.510804503,111.7828804,6.970484323,113
112.4711015,13.48977414,113.0907822,0.575665785,112.7809419,7.032719963,114
113.4693159,13.54938535,114.0886907,0.640526165,113.7790033,7.094955759,115
114.4675034,13.60899495,115.0866261,0.70539048,114.7770647,7.157192715,116
115.4656988,13.66860503,116.0845533,0.770257291,115.775126,7.219431159,117
116.4639133,13.72821624,117.0824618,0.8351157,116.7731876,7.281665971,118
117.4621276,13.78782745,118.0803702,0.899980269,117.7712489,7.343903857,119
118.460298,13.84743603,119.078323,0.96483928,118.7693105,7.406137653,120
119.4584966,13.90704798,120.0762472,1.029701202,119.7673719,7.468374594,121
