InLat,InLon,OutLat,OutLon
34.73870698,126.4152742,34.73859451,126.4152807
34.73870805,126.415296,34.73859568,126.4153025
34.73870913,126.4153178,34.73859684,126.4153243
34.7387102,126.4153396,34.73859801,126.4153462
34.73871127,126.4153615,34.73859917,126.415368
34.73871234,126.4153833,34.73860034,126.4153898
34.73871341,126.4154051,34.7386015,126.4154116
34.73871448,126.4154269,34.73860267,126.4154334
34.73871555,126.4154487,34.73860383,126.4154553
34.73871662,126.4154706,34.738605,126.4154771
34.73871769,126.4154924,34.73860616,126.4154989
34.73871876,126.4155142,34.73860733,126.4155207
34.73871983,126.415536,34.7386085,126.4155425
34.73872091,126.4155579,34.73860966,126.4155643
34.73872198,126.4155797,34.73861083,126.4155862
34.73872305,126.4156015,34.73861199,126.415608
34.73872412,126.4156233,34.73861316,126.4156298
34.73872519,126.4156452,34.73861432,126.4156516
34.73872626,126.415667,34.73861549,126.4156734
34.73872733,126.4156888,34.73861665,126.4156952
34.7387284,126.4157106,34.73861782,126.4157171
34.73872947,126.4157325,34.73861898,126.4157389
34.73873054,126.4157543,34.73862015,126.4157607
34.73873162,126.4157761,34.73862131,126.4157825
34.73873269,126.4157979,34.73862248,126.4158043
34.73873376,126.4158198,34.73862364,126.4158262
34.73873483,126.4158416,34.73862481,126.415848
34.7387359,126.4158634,34.73862598,126.4158698
34.73873697,126.4158852,34.73862714,126.4158916
34.73873804,126.415907,34.73862831,126.4159134
34.73873911,126.4159289,34.73862947,126.4159352
34.73874018,126.4159507,34.73863064,126.4159571
34.73874125,126.4159725,34.7386318,126.4159789
34.73874233,126.4159943,34.73863297,126.4160007
34.7387434,126.4160162,34.73863413,126.4160225
34.73874447,126.416038,34.7386353,126.4160443
34.73874554,126.4160598,34.73863646,126.4160662
34.73874661,126.4160816,34.73863763,126.416088
34.73874768,126.4161035,34.73863879,126.4161098
34.73874875,126.4161253,34.73863996,126.4161316
34.73874982,126.4161471,34.73864113,126.4161534
34.73875089,126.4161689,34.73864229,126.4161752
34.73875196,126.4161908,34.73864346,126.4161971
34.73875304,126.4162126,34.73864462,126.4162189
34.73875411,126.4162344,34.73864579,126.4162407
