RefinedDistance,PosLocalX,PosLocalY,InverseRadius,RefinedPosLon,RefinedPosLat,TimeStamp,GPS_Speed,PosLat,PosLon,AccelForward,AccelLateral,DeviceAccelForward,DeviceAccelLateral,DeviceAccelVertical,AngleTrack,AngleRateZ,GPS_Height,GPS_PosAccuracy,RPM,Pedal_throttle,Pedal_brake,Steer_angle,Gear,CoolantT,OilT,Internal Batte,External Batte,TOYO_SPEED_VEH,TOYO_BRAKE_SW,TOYO_IAT,TOYO_MAP,TOYO_AAT,TOYO_BARO,TOYO_LAMBDA,TOYO_THROTTLE,TOYO_CAT1_T,TOYO_CLUCH_SW,TOYO_WHE_FL,TOYO_WHE_FR,TOYO_WHE_RL,TOYO_WHE_RR,GPS_Nsat,GPS_Slope,GPS_Elevation,PositionIndex,LapNo,timeDelta
5878.4762954,30.4968150284,11.0353288891,-6.13529693402e-05,126.413559679,34.7386447726,1.03262071618,131.044581775,34.7386447726,126.413559679,0.1693435,0.0140975,-3.7686745,3.3415215,-2.437781,87.841599,0.219922,0.0,2.4094,7189.73999,99.999985,0.0,3.0,3.0,90.0,94.0,4.232,13.923,131.345001,0.0,16.0,0.969699982,15.0,1.01,0.827,96.0,705.0,0.0,128.3270035,128.1300015,131.445,131.2480085,10.0,0.017566,-2.985,31.1245273003,2,-0.0127509906607
5880.32927425,32.3484684065,11.1054032506,-6.24628864602e-05,126.413579921,34.7386454021,1.08262071618,131.330002,34.7386454021,126.41357992,0.162352,0.014735,-3.766526,3.34602,-2.443719,87.847672,0.231381,0.0,2.4,7206.620117,99.999985,0.0,3.0,3.0,90.0,94.0,4.232,13.923,131.654007,0.0,16.0,0.960599976,15.0,1.01,0.827,96.0,705.0,0.0,128.529999,128.335999,131.753998,131.64801,10.0,0.017738,-2.98,32.9769009391,2,-0.0136472394013
5882.16927302,34.1871589899,11.1747746733,-4.65617288628e-05,126.413600021,34.7386460253,1.13262071618,131.584289486,34.7386460253,126.41360002,0.1557555,0.015315,-3.7660775,3.3449885,-2.4762955,87.859131,0.241465,0.0,2.4,7244.130127,99.999985,0.0,3.0,3.0,90.0,94.0,4.232,13.923,132.1010055,0.0,16.0,0.965299988,15.0,1.01,0.827,96.0,705.0,0.0,128.792,128.6450045,132.197998,132.0480115,10.0,0.020603,-2.975,34.8163450314,2,-0.0140915493422
5884.00315597,36.0197440194,11.2437587758,-2.67186492247e-05,126.413620054,34.738646645,1.18262071618,131.830002,34.738646645,126.413620053,0.149159,0.015895,-3.765629,3.343957,-2.508872,87.87059,0.251549,0.0,2.4,7281.640137,99.999985,0.0,3.0,3.0,90.0,94.0,4.232,13.923,132.548004,0.0,16.0,0.97,15.0,1.01,0.827,96.0,705.0,0.0,129.054001,128.95401,132.641998,132.448013,10.0,0.023468,-2.97,36.6496520403,2,-0.013850273994
5885.84741026,37.862696447,11.3130424526,-1.93162962224e-05,126.4136402,34.7386472674,1.23262071618,132.085771407,34.7386472674,126.4136402,0.1441945,0.015557,-3.7670895,3.344311,-2.5107995,87.8820495,0.24009,0.0,2.4,7302.26001,99.999985,0.0,3.0,3.0,90.0,94.0,4.232,13.923,132.8955,0.0,16.0,0.970299988,15.0,1.01,0.827,96.0,705.0,0.0,129.5040055,129.4010085,132.973999,132.7970045,10.0,0.0265045,-2.965,38.4933626912,2,-0.0135881127947
5887.69039715,39.7043848346,11.3822129307,-1.81704391587e-05,126.413660333,34.7386478887,1.28262071618,132.324005,34.7386478887,126.413660332,0.13923,0.015219,-3.76855,3.344665,-2.512727,87.893509,0.228631,0.0,2.4,7322.879883,99.999985,0.0,3.0,3.0,90.0,94.0,4.232,13.923,133.242996,0.0,16.0,0.970599976,15.0,1.01,0.827,96.0,705.0,0.0,129.95401,129.848007,133.306,133.145996,10.0,0.029541,-2.96,40.3357913972,2,-0.0132666095476
5889.52021453,41.5329152804,11.4508281195,-2.68560150348e-05,126.413680322,34.7386485051,1.33262071618,132.522269135,34.7386485051,126.413680321,0.136518,0.0145565,-3.776933,3.345179,-2.478611,87.904854,0.2167135,0.0,2.4,7327.0148925,97.499985,0.0,2.975,3.0,90.0,94.0,4.232,13.923,132.7727505,0.0,16.0,0.969549988,15.0,1.01,0.827,94.4749985,705.0,0.025,130.392006,130.2415085,133.3030015,132.7005005,10.0,0.0353565,-2.95,42.1650686327,2,-0.0125292147106
5891.35203263,43.3634484168,11.5194283278,-3.57423675921e-05,126.413700332,34.7386491214,1.38262071618,132.724991,34.7386491214,126.413700332,0.133806,0.013894,-3.785316,3.345693,-2.444495,87.916199,0.204796,0.0,2.4,7331.149902,94.999985,0.0,2.95,2.925,90.0,94.0,4.232,13.923,132.302505,0.0,16.0,0.9685,15.0,1.01,0.827,92.949997,705.049988,0.05,130.830002,130.63501,133.300003,132.255005,10.0,0.041172,-2.94,43.9963199199,2,-0.0117133693804
5893.20190794,45.2120306474,11.5885831352,-3.9689029635e-05,126.41372054,34.7386497426,1.43262071618,132.972265929,34.7386497426,126.41372054,0.133583,0.012635,-3.823344,3.3285825,-2.4255195,87.927658,0.1824505,0.0,2.4,7420.75,47.4999925,0.0,2.5,2.925,90.0,94.0,4.232,13.923,131.8437575,0.0,15.975,0.8505,15.0,1.01,0.831575,63.699999,705.049988,0.525,131.111252,130.970009,132.3425065,131.82251,10.0,0.049623,-2.94,45.8456393733,2,-0.0112892460711
5895.06236957,47.0711969261,11.6579968069,-5.23372467571e-05,126.413740864,34.7386503662,1.48262071618,133.220001,34.7386503662,126.413740863,0.13336,0.011376,-3.861372,3.311472,-2.406544,87.939117,0.160105,0.0,2.4,7510.350098,0.0,0.0,2.05,1.425,90.0,94.0,4.232,13.923,131.38501,0.0,15.95,0.7325,15.0,1.01,0.83615,34.450001,706.0,1.0,131.392502,131.305008,131.38501,131.390015,10.0,0.058074,-2.94,47.7055149438,2,-0.0110868057727
