DeltaTimeStamp,DeltaGPS_Speed,PositionIndex,TimeStamp,GPS_Speed,DeltaTimeDelta
-0.0136048896616,-0.173244572899,33,1.08324420809,131.333352152,-0.0189531351228
-0.0139642669199,-0.192995681964,34,1.11036341606,131.473972004,-0.0132517608429
-0.0141228991177,-0.220080220684,35,1.13763391316,131.608812172,-0.0058169895907
-0.0141176222529,-0.257840813435,36,1.164925591,131.742137497,0.000193350691125
-0.0140172174416,-0.304750170669,37,1.19214242829,131.878231801,0.00368906975576
-0.013903335099,-0.357063824094,38,1.21925851415,132.017501778,0.00419980756818
-0.0137631480864,-0.416586713694,39,1.24634493211,132.154587173,0.00517554638815
-0.0135674997855,-0.485690500533,40,1.27348236766,132.283564676,0.0072095353508
-0.013250856023,-0.564704174993,41,1.30074448256,132.399175342,0.0116147908383
-0.012825724403,-0.644270018888,42,1.32810223134,132.505070786,0.0155397150354
-0.0123710316399,-0.709312379194,43,1.35545986083,132.610679032,0.0166203275521
-0.0119707993458,-0.746406580741,44,1.3827207433,132.725441594,0.0146815604572
-0.0116994266512,-0.752027046016,45,1.40981476397,132.855457718,0.0100159624851
-0.0115309573374,-0.737348204706,46,1.4367762791,132.993740663,0.00624851062665
-0.0114143876266,-0.716587758038,47,1.46366437308,133.13018102,0.00433536533996
-0.0112987083497,-0.702494127571,48,1.49053500915,133.255037969,0.00430504423561
-0.011153561904,-0.699150123313,49,1.51741784346,133.365236949,0.00539922405835
-0.0109922620363,-0.699031034916,50,1.54429807049,133.46909534,0.00600068844023
-0.0108308379447,-0.69357823554,51,1.57115796536,133.576048396,0.00600985567746
-0.0106836791125,-0.676455410803,52,1.59798212895,133.695025051,0.0054860548308
-0.0105561888997,-0.651224892103,53,1.62476486178,133.82663937,0.0047601644497
-0.0104465282137,-0.628349850847,54,1.65150851464,133.964641077,0.0041004378345
-0.0103519342337,-0.617459449777,55,1.67821684877,134.102662338,0.00354174017713
-0.0102691942824,-0.619559886711,56,1.70489382292,134.235556359,0.00310154932887
-0.0101981930834,-0.624415282589,57,1.73154021555,134.365911432,0.00266457077087
-0.0101400809898,-0.618688278821,58,1.75815576297,134.49944414,0.00218338900745
-0.0100938106593,-0.591346491624,59,1.78474133828,134.641824779,0.00174042991301
-0.0100541183925,-0.542395470712,60,1.8112977172,134.796199161,0.00149464152894
-0.0100163831234,-0.481757814071,61,1.83782435321,134.957801881,0.00142254257445
-0.00997715022633,-0.420826189878,62,1.86432048868,135.120341243,0.00148070261444
-0.00993630271,-0.368548961805,63,1.89078548495,135.27766965,0.00154345445258
-0.00989959423132,-0.323668343048,64,1.91721934434,135.429322428,0.00138869160735
-0.00987260024448,-0.275014299557,65,1.94362309607,135.58422945,0.00102235421381
-0.00986092474381,-0.210722493248,66,1.96999752865,135.752135615,0.000442682534835
-0.00986094691733,-0.122523830942,67,1.99634295953,135.942142657,-8.41645799779e-07
-0.00985924405659,-0.0171257714536,68,2.0226586192,136.151680315,6.47090273117e-05
-0.00984267157347,0.0876176228853,69,2.04894276208,136.367142899,0.000630512594435
-0.00980068755818,0.174023077782,70,2.07519399007,136.574620016,0.00159931624184
-0.00975950014247,0.230770975904,71,2.1014112035,136.761462749,0.00157100661441
-0.00976988353142,0.261306045905,72,2.12759347172,136.926389747,-0.000396580955493
-0.0098835102089,0.275554849334,73,2.15374009406,137.074518054,-0.00434574974822
-0.0101383076204,0.282505708976,74,2.17985136768,137.210981286,-0.00975813800752
-0.0104860156943,0.284775584805,75,2.20592849179,137.340831329,-0.0133338351446
-0.0108419322671,0.282169785639,76,2.23197523041,137.468803309,-0.0136645350476
-0.0111213756428,0.274477345954,77,2.25799644072,137.599517759,-0.0107390614194
-0.0112635605618,0.263287466414,78,2.2839979066,137.737568639,-0.00546834242432
-0.0112958729108,0.254744163286,79,2.30998178008,137.885900124,-0.00124355396833
